Family,CF,CG,HB,PA,PR,SH,Other
Spongillidae,1,,,,,,
Bougainvilliidae,,,,,1,,
Hydridae,,,,,1,,
Dalyelliidae,,,,,1,,
Dendrocoelidae,,,,,1,,
Dugesiidae,,,,,1,,
Macrostomidae,,,,,1,,
Microstomidae,,,,,1,,
Planariidae,,1,,,1,,1
Polycystidae,,,,,1,,
Stenostomidae,,,,,1,,
Typhloplanidae,,,,,1,,
Gordiidae,,,,1,,,
Acroloxidae,,,1,,,,
Bithyniidae,1,1,1,,,,
Hydrobiidae,,1,1,,,1,1
Lymnaeidae,,1,1,,,1,1
Melanopsidae,,1,1,,,1,1
Neritidae,,,1,,,,
Physidae,,1,1,,,1,1
Planorbidae,,1,1,,,1,1
Thiaridae,,1,1,,,,1
Valvatidae,,1,1,,,,
Viviparidae,1,,1,,,,
Dreissenidae,1,,,,,,
Margaritiferidae,1,,,,,,
Myidae,1,,,,,,
Mytilidae,1,,,,,,
Sphaeriidae,1,,,,,,
Unionidae,1,,,,,,
Ampharetidae,1,,,,,,
Nerillidae,,1,,,,,
Aeolosomatidae,,1,,,,,
Enchytraeidae,,1,,,,,
Glossoscolecidae,,1,,,,,
Haplotaxidae,,1,,,,,
Lumbricidae,,1,,,,,
Lumbriculidae,,1,,,,,
Naididae,,1,1,,1,,
Propappidae,,1,,,,,
Tubificidae,,1,,,,,
Erpobdellidae,,,,,1,,
Glossiphoniidae,,,,1,1,,
Haemopidae,,,,,1,,
Hirudinidae,,,,1,,,
Piscicolidae,,,,1,,,
Branchiobdellidae,,,,,1,,
Cybaeidae,,,,,1,,
Hydrachnidae,,,,1,1,,
Lebertiidae,,,,,1,,
Sperchontidae,,,,1,1,,
Argulidae,,,,1,,,
Asellidae,,1,1,,,1,1
Astacidae,,1,,,1,,1
Atyidae,,1,,,,,1
Branchinectidae,1,,,,,,
Branchipodidae,1,,,,,,
Cambaridae,,1,,,1,,1
Chirocephalidae,1,,,,,,
Corophiidae,1,,,,,,
Crangonyctidae,,1,,,,1,
Cyclopidae,,,,,1,,
Gammaridae,,1,1,,1,1,1
Janiridae,,,1,,,,
Mysidae,1,,,,,,
Streptocephalidae,1,,,,,,
Arthropleidae,1,,,,,,
Baetidae,,1,1,,1,,
Caenidae,,1,,,,,
Ephemerellidae,,1,1,,,,
Ephemeridae,1,1,,,,,
Heptageniidae,,1,1,,,,
Isonychiidae,1,,,,,,
Leptophlebiidae,,1,1,,,,
Oligoneuriidae,1,,,,,,
Polymitarcyidae,1,,,,,,
Potamanthidae,1,1,,,,,
Siphlonuridae,,1,1,,,,
Aeshnidae,,,,,1,,
Calopterygidae,,,,,1,,
Coenagrionidae,,,,,1,,
Cordulegastridae,,,,,1,,
Corduliidae,,,,,1,,
Gomphidae,,,,,1,,
Lestidae,,,,,1,,
Libellulidae,,,,,1,,
Platycnemididae,,,,,1,,
Capniidae,,1,1,,,1,
Chloroperlidae,,1,1,,1,1,1
Leuctridae,,1,1,,,1,
Nemouridae,,1,1,,,1,
Perlidae,,1,1,,1,,
Perlodidae,,1,1,,1,1,
Taeniopterygidae,,1,1,,,1,
Aphelocheiridae,,,,,1,,
Corixidae,1,1,1,,1,,
Gerridae,,,,,1,,
Hebridae,,,,,,,1
Hydrometridae,,,,,1,,
Mesoveliidae,,,,,1,,
Naucoridae,,,,,1,,
Nepidae,,,,,1,,
Notonectidae,,,,,1,,
Pleidae,,,,,1,,
Veliidae,,,,,1,,1
Sialidae,,,,,1,,
Osmylidae,,,,,1,,
Sisyridae,,,,1,,,1
Chrysomelidae,,,,,1,,
Curculionidae,,,,,,1,
Dryopidae,,1,1,,,1,
Dytiscidae,,,,,1,,1
Elmidae,,1,1,,,,
Gyrinidae,,,,,1,,
Haliplidae,,,1,,1,1,1
Helophoridae,,,,,1,1,
Hydraenidae,,,1,,1,,
Hydrophilidae,,1,1,,1,1,1
Hygrobiidae,,,,,1,,
Noteridae,,,,,1,,
Scirtidae,,1,1,,1,1,
Spercheidae,1,,,,1,,
Apataniidae,,1,1,,,,
Beraeidae,,1,1,,,1,
Brachycentridae,1,,1,,1,1,
Ecnomidae,1,,,,1,,
Glossosomatidae,,1,1,,,,
Goeridae,,1,1,,,,
Hydropsychidae,1,,1,,1,,
Hydroptilidae,,1,1,,1,,1
Lepidostomatidae,,,1,,1,1,
Leptoceridae,,1,1,,1,1,
Limnephilidae,1,1,1,,1,1,
Molannidae,,1,,,1,,
Odontoceridae,,,1,,1,1,
Philopotamidae,1,,,,,,
Phryganeidae,,1,1,,1,1,
Polycentropodidae,1,,,,1,,
Psychomyiidae,1,1,1,,1,,
Ptilocolepidae,,1,1,,,1,
Rhyacophilidae,,,,,1,,
Sericostomatidae,,,1,,1,1,
Uenoidae,,,1,,,,
Crambidae,,,1,,,1,
Anthomyiidae,,,,,1,,
Athericidae,,,,,1,,
Blephariceridae,,,1,,,,
Ceratopogonidae,,1,,,1,,
Chaoboridae,,,,,1,,
Culicidae,1,,1,,1,,
Cylindrotomidae,,,,,,1,
Dixidae,1,1,,,,,
Dolichopodidae,,,,,1,,
Empididae,,1,,,1,,
Ephydridae,,1,1,,,1,
Limoniidae,,1,1,,1,1,
Muscidae,,,,,1,,
Pediciidae,,,,,1,,1
Psychodidae,,1,1,,1,1,1
Ptychopteridae,,1,,,,1,
Rhagionidae,,,,,1,,
Scatophagidae,,,1,,,1,
Sciomyzidae,,,,,1,,
Simuliidae,1,,1,,,,
Stratiomyidae,1,1,1,,,1,1
Syrphidae,1,1,,,1,,
Tabanidae,,1,,,1,,
Thaumaleidae,,,1,,,,
Tipulidae,,1,,,,1,
Chironomidae,1,1,1,1,1,1,1
Plumatellidae,1,,,,,,
