Station	VariableType	Variable common name	Variable scientific name	Value	Unit	SampleMatrix
1012	PCB	CL6-PCB-152	"2,2',3,5,6,6'-hexachlorobiphenyl"	0.04	ng/g dwt	Surface sediment
1012	PCB	PCB 173	"2,2',3,3',4,5,6-heptachlorobiphenyl"	0.05	ng/g dwt	Surface sediment
1012	PCB	CL6-PCB-150	"2,2',3,4',6,6'-hexachlorobiphenyl"	0.06	ng/g dwt	Surface sediment
1012	PCB	CL6-PCB-148	"2,2',3,4',5,6'-hexachlorobiphenyl"	0.06	ng/g dwt	Surface sediment
1012	PCB	PCB 103	"2,2',4,5',6-pentachlorobiphenyl"	0.13	ng/g dwt	Surface sediment
1012	PCB	"2,2',3,3',4,5',6-heptachlorobiphenyl (PCB 175)"	"1,2,3,5-tetrachloro-4-(2,3,5-trichlorophenyl)benzene"	0.13	ng/g dwt	Surface sediment
1012	PCB	"2,3,3',4,4',5',6-heptachlorobiphenyl (PCB 191)"	"1,2,3,5-tetrachloro-4-(3,4,5-trichlorophenyl)benzene"	0.14	ng/g dwt	Surface sediment
1012	PCB	CL5-PCB-94	"2,2',3,5,6'-pentachlorobiphenyl"	0.15	ng/g dwt	Surface sediment
1012	PCB	Decachlorobiphenyl (PCB 209)	"1,2,3,4,5-pentachloro-6-(pentachlorophenyl)benzene"	0.16	ng/g dwt	Surface sediment
1012	PCB	PCB 98/102	"2,2',3,4',6'-pentachlorobiphenyl/2,2',4,5,6'-pentachlorobiphenyl"	0.17	ng/g dwt	Surface sediment
1012	PCB	"2,3,3',4,4',5,5',6-octachlorobiphenyl (PCB 205)"	"1,2,3,4,5-pentachloro-6-(3,4,5-trichlorophenyl)benzene"	0.18	ng/g dwt	Surface sediment
1012	PCB	"2,2',3,3',4,5',6,6'-octachlorobiphenyl (PCB 201)"	"1,2,3,5-tetrachloro-4-(2,3,5,6-tetrachlorophenyl)benzene"	0.19	ng/g dwt	Surface sediment
1012	PCB	PCB 200	"2,2',3,3',4,5,6,6'-octachlorobiphenyl"	0.19	ng/g dwt	Surface sediment
1012	PCB	CL6-PCB-133	"2,2',3,3',5,5'-hexachlorobiphenyl"	0.24	ng/g dwt	Surface sediment
1012	PCB	"1,3,5-trichloro-2-(2,4-dichlorophenyl)benzene (PCB 100)"	"2,2',4,4',6-Pentachlorobiphenyl"	0.26	ng/g dwt	Surface sediment
1012	PCB	PCB 154	"2,2',4,4',5,6'-hexachlorobiphenyl"	0.28	ng/g dwt	Surface sediment
1012	PCB	"2,2',3,3',4,5-hexachlorobiphenyl (PCB 129)"	"1,2,3,4-tetrachloro-5-(2,3-dichlorophenyl)benzene"	0.29	ng/g dwt	Surface sediment
1012	PCB	"2,3,3',4,4',5'-hexachlorobiphenyl (PCB 157)"	"1,2,3-trichloro-5-(2,3,4-trichlorophenyl)benzene"	0.30	ng/g dwt	Surface sediment
1012	PCB	PCB 119	"2,3',4,4',6-pentachlorobiphenyl"	0.31	ng/g dwt	Surface sediment
1012	PCB	PCB 83/108	"2,2',3,3',5-pentachlorobiphenyl/2,3,3',4,5'-pentachlorobiphenyl"	0.31	ng/g dwt	Surface sediment
1012	PCB	"1,2,4,5-tetrachloro-3-(2,3,5,6-tetrachlorophenyl)benzene (PCB 202)"	"2,2',3,3',5,5',6,6'-Octachlorobiphenyl"	0.32	ng/g dwt	Surface sediment
1012	PCB	"2,3',4,4',5,5'-hexachlorobiphenyl (PCB 167)"	"2,3',4,4',5,5'-hexachlorobiphenyl"	0.32	ng/g dwt	Surface sediment
1012	PCB	"2,2',3,4,5,5',6-heptachlorobiphenyl (PCB 185)"	"1,2,3,4,5-pentachloro-6-(2,5-dichlorophenyl)benzene"	0.33	ng/g dwt	Surface sediment
1012	PCB	"2,2',3,4,4',5-hexachlorobiphenyl (PCB 137)"	"1,2,3,4-tetrachloro-5-(2,4-dichlorophenyl)benzene"	0.34	ng/g dwt	Surface sediment
1012	PCB	CL6-PCB-134/143	"2,2',3,3',5,6-hexachlorobiphenyl/2,2',3,4,5,6'-hexachlorobiphenyl"	0.39	ng/g dwt	Surface sediment
