sample_ID,t_temp,t_DO_p,t_DO,t_SpCond,t_TDS,t_SAL,t_pH,b_temp,b_DO_p,b_DO,b_SpCond,b_TDS,b_SAL,b_pH,s_temp,s_pH,b_CaCO3 ,t_CaCO3 ,b_Ammonia_N,t_Ammonia_N,b_Calcium,t_Calcium,b_Chloride,t_Chloride,b_Fluoride,t_Fluoride,b_Magnesium,t_Magnesium,b_Nitrate_Nitrite_N,t_Nitrate_Nitrite_N,b_Nitrogen_Total,t_Nitrogen_Total,b_Nitrogen_Total_Dissolved,t_Nitrogen_Total_Dissolved,b_Phosphorus_SRP,t_Phosphorus_SRP,b_Phosphorus_Total,t_Phosphorus_Total,b_Potassium,t_Potassium,b_Silica,t_Silica,b_Sodium,t_Sodium,b_Sulfate,t_Sulfate
TorontoHarbour_1012_1_InnerHarbourWest,17,94.2,9.07,309.5,0.2,0.15,8.41,14.7,98.6,9.89,310.8,0.2,0.15,8.29,16.2,7.17,93.2,92.7,0.038,0.039,34.4,34.3,24.3,24.2,0.11,0.11,9.05,8.99,0.227,0.226,0.223,0.206,0.256,0.231,0.0033,0.0029,0.0117,0.011,1.7,1.68,0.51,0.49,14.8,14.7,23.8,23.8
TorontoHarbour_1012_2_InnerHarbourWest,17,94.2,9.07,309.5,0.2,0.15,8.41,14.7,98.6,9.89,310.8,0.2,0.15,8.29,16.2,7.17,93.2,92.7,0.038,0.039,34.4,34.3,24.3,24.2,0.11,0.11,9.05,8.99,0.227,0.226,0.223,0.206,0.256,0.231,0.0033,0.0029,0.0117,0.011,1.7,1.68,0.51,0.49,14.8,14.7,23.8,23.8
TorontoHarbour_1012_3_InnerHarbourWest,17,94.2,9.07,309.5,0.2,0.15,8.41,14.7,98.6,9.89,310.8,0.2,0.15,8.29,16.2,7.17,93.2,92.7,0.038,0.039,34.4,34.3,24.3,24.2,0.11,0.11,9.05,8.99,0.227,0.226,0.223,0.206,0.256,0.231,0.0033,0.0029,0.0117,0.011,1.7,1.68,0.51,0.49,14.8,14.7,23.8,23.8
TorontoHarbour_1346_1_BathurstQuay,16.7,92.4,8.94,316.3,0.21,0.15,8.16,16.8,93,9.03,315.2,0.2,0.15,8.13,17.1,6.51,92.2,91.9,0.062,0.062,34,33.9,26.9,27,0.11,0.11,8.81,8.77,0.243,0.244,0.256,0.272,0.264,0.431,0.0089,0.0093,0.022,0.0221,1.81,1.81,0.64,0.65,16.5,16.5,23.5,23.5
TorontoHarbour_1346_2_BathurstQuay,16.7,92.4,8.94,316.3,0.21,0.15,8.16,16.8,93,9.03,315.2,0.2,0.15,8.13,17.1,6.51,92.2,91.9,0.062,0.062,34,33.9,26.9,27,0.11,0.11,8.81,8.77,0.243,0.244,0.256,0.272,0.264,0.431,0.0089,0.0093,0.022,0.0221,1.81,1.81,0.64,0.65,16.5,16.5,23.5,23.5
TorontoHarbour_1346_3_BathurstQuay,16.7,92.4,8.94,316.3,0.21,0.15,8.16,16.8,93,9.03,315.2,0.2,0.15,8.13,17.1,6.51,92.2,91.9,0.062,0.062,34,33.9,26.9,27,0.11,0.11,8.81,8.77,0.243,0.244,0.256,0.272,0.264,0.431,0.0089,0.0093,0.022,0.0221,1.81,1.81,0.64,0.65,16.5,16.5,23.5,23.5
TorontoHarbour_1349_1_InnerHarbourWest,17.3,91.6,8.77,316.4,0.21,0.15,8.14,17.1,92.6,8.93,312.1,0.2,0.15,8.14,17,7.07,93,93.4,0.046,0.047,34.3,34.6,25.5,26.1,0.11,0.11,8.96,9.06,0.242,0.244,0.242,0.279,0.268,0.277,0.006,0.0069,0.0154,0.0165,1.72,1.75,0.61,0.69,15.4,15.9,23.9,24
TorontoHarbour_1349_2_InnerHarbourWest,17.3,91.6,8.77,316.4,0.21,0.15,8.14,17.1,92.6,8.93,312.1,0.2,0.15,8.14,17,7.07,93,93.4,0.046,0.047,34.3,34.6,25.5,26.1,0.11,0.11,8.96,9.06,0.242,0.244,0.242,0.279,0.268,0.277,0.006,0.0069,0.0154,0.0165,1.72,1.75,0.61,0.69,15.4,15.9,23.9,24
TorontoHarbour_1349_3_InnerHarbourWest,17.3,91.6,8.77,316.4,0.21,0.15,8.14,17.1,92.6,8.93,312.1,0.2,0.15,8.14,17,7.07,93,93.4,0.046,0.047,34.3,34.6,25.5,26.1,0.11,0.11,8.96,9.06,0.242,0.244,0.242,0.279,0.268,0.277,0.006,0.0069,0.0154,0.0165,1.72,1.75,0.61,0.69,15.4,15.9,23.9,24
TorontoHarbour_1355_1_InnerHarbourWest,17.5,91.6,8.76,317,0.21,0.15,8.15,17.1,93.3,8.98,313,0.2,0.15,8.15,16.5,7.17,92.8,93.6,0.049,0.048,34.6,34.7,25.5,26.2,0.11,0.11,9.09,9.08,0.238,0.247,0.235,0.245,0.243,0.242,0.0079,0.0069,0.016,0.0181,1.75,1.75,0.66,0.71,15.6,16,23.9,24
